channel,snr_db,caduceus_ber,qpsk_ber,qam16_ber
awgn,0,0.3404499888420105,0.234499990940094,0.3568750023841858
awgn,2,0.2976999878883362,0.18724998831748962,0.31505000591278076
awgn,4,0.24137499928474426,0.13175000250339508,0.2632249891757965
awgn,6,0.18707498908042908,0.07649999856948853,0.21494999527931213
awgn,8,0.11504999548196793,0.03830000013113022,0.16562499105930328
awgn,10,0.055399999022483826,0.013049999251961708,0.12102499604225159
awgn,12,0.020674999803304672,0.002849999815225601,0.0791499987244606
awgn,14,0.01759999990463257,0.00019999999494757503,0.042524997144937515
awgn,16,0.00787500012665987,0.0,0.017474999651312828
awgn,18,0.00139999995008111,0.0,0.004650000017136335
awgn,20,0.00022499999613501132,0.0,0.0006749999593012035
rayleigh,0,0.4888499975204468,0.4987500011920929,0.4837999939918518
rayleigh,2,0.4869249761104584,0.5001999735832214,0.4834499955177307
rayleigh,4,0.47749999165534973,0.5055999755859375,0.47519999742507935
rayleigh,6,0.4764249920845032,0.5072999596595764,0.4659999907016754
rayleigh,8,0.4684249758720398,0.5018999576568604,0.4575499892234802
rayleigh,10,0.4666749835014343,0.5,0.4545750021934509
rayleigh,12,0.4591499865055084,0.5016499757766724,0.45137497782707214
rayleigh,14,0.4523249864578247,0.5019499659538269,0.44769999384880066
rayleigh,16,0.4518499970436096,0.5027999877929688,0.4505249857902527
rayleigh,18,0.45954999327659607,0.5027999877929688,0.4419749975204468
rayleigh,20,0.45619997382164,0.4984999895095825,0.4436499774456024
rician,0,0.37834998965263367,0.28255000710487366,0.381850004196167
rician,2,0.36069998145103455,0.24409998953342438,0.3481999933719635
rician,4,0.337799996137619,0.1979999989271164,0.31142500042915344
rician,6,0.30924999713897705,0.15924999117851257,0.2777249813079834
rician,8,0.28894999623298645,0.12379999458789825,0.2439499944448471
rician,10,0.2645999789237976,0.0982000008225441,0.21627499163150787
rician,12,0.2481749951839447,0.07959999889135361,0.19427499175071716
rician,14,0.234499990940094,0.0669500008225441,0.17729999125003815
rician,16,0.22619999945163727,0.058149997144937515,0.16272500157356262
rician,18,0.21822498738765717,0.0515499971807003,0.15492498874664307
rician,20,0.2200249880552292,0.04774999991059303,0.1539749950170517
