snr_db,shannon_capacity_bphz,caduceus_mutual_information,caduceus_spectral_efficiency,qpsk_spectral_efficiency,qam16_spectral_efficiency
0,1.0,0.8445264101028442,0.8445264101028442,2.0,4.0
2,1.3701046697509862,1.209355115890503,1.209355115890503,2.0,4.0
4,1.8122461913006254,1.5673032999038696,1.5673032999038696,2.0,4.0
6,2.3164561796262597,2.024322271347046,2.024322271347046,2.0,4.0
8,2.8697872191702856,2.5384013652801514,2.5384013652801514,2.0,4.0
10,3.4594316186372973,3.0094969272613525,3.0094969272613525,2.0,4.0
12,4.074585234905427,3.4583754539489746,3.4583754539489746,2.0,4.0
14,4.707020262728835,3.7663631439208984,3.7663631439208984,2.0,4.0
16,5.350876154248603,3.954049587249756,3.954049587249756,2.0,4.0
18,6.00215644400198,3.992159605026245,3.992159605026245,2.0,4.0
20,6.658211482751795,3.998474359512329,3.998474359512329,2.0,4.0
